player,final_rating_avg,final_rating_human,final_rating_ai
Grzegorz Krychowiak,5.236574943460671,4.011548342840876,6.962729119970129
Guido Burgstaller,6.511420301806159,7.341440865136837,5.686999461123651
Gylfi Sigurdsson,6.951027524327826,5.985225549849048,7.423321130705487
Hal Robson-Kanu,6.014779945318062,6.919368544499772,5.2780791172070245
Harry Kane,14.810234087506146,12.258568456453169,17.263934489257366
Harry Maguire,11.397814893411905,12.371311825303806,10.282265691926735
Hector Bellerin,6.87499158591494,7.621133503259433,6.018340041929956
Henrikh Mkhitaryan,9.113043487729932,8.325166016831048,9.970612279998067
Heurelho Gomes,6.411846410968713,7.724735829607071,4.9569047227370975
Holger Badstuber,7.666382482232311,8.306945114236974,7.216814634038738
Hugo Lloris,5.384345352876443,7.25919265076937,3.5177791605666116
Idrissa Gueye,5.988802914540475,5.302072701856745,6.533480857630951
Ihlas Bebou,8.229532684438098,7.355327450421025,9.178256676704057
Ilkay Gundogan,8.042097414214066,8.125404149313407,7.88166240318324
Isaac Hayden,4.356867882645849,4.15150167742551,4.4201818182729316
Ishak Belfodil,4.980175882731777,5.0365591734424475,5.613493342643396
Ja-Cheol Koo,5.709875392524803,5.290759068849134,6.1146200473328225
Jack Butland,8.327034770463396,9.881463635004508,6.6305536363290285
Jack Cork,6.8762837984718,8.74362844137401,4.8668868859763315
Jack Stephens,6.36709821553213,6.1953490669352105,6.021843361071338
Jack Wilshere,6.737937142630915,6.671998082461043,6.714584172704727
Jacob Murphy,4.299284469852931,4.9748628975420495,4.390931614507629
Jake Livermore,4.52530344176997,4.696013442557968,4.299874546565069
Jamaal Lascelles,9.172395653176103,9.530102621207035,8.672636415551919
James McArthur,5.836670500076347,6.412748772128439,5.118539958431004
James McClean,5.8169762535237926,5.447604718042746,6.339500671937212
James Milner,6.975440838447577,7.598418870086004,7.349134284190944
James Rodriguez,11.91227201782257,11.16453274221011,12.532019258845105
James Tarkowski,10.578540107498394,10.952983039161328,10.005224751725134
James Tomkins,8.712224888941282,6.700077633875012,10.582319874414303
James Ward-Prowse,7.902435068128619,9.31739976692441,6.426073284028477
Jamie Vardy,9.958023546822528,11.778593132233272,8.127593385683168
Jan Vertonghen,10.055830731885514,9.191162795027932,10.778446399149846
Janik Haberer,6.568469468911231,6.222580755153448,6.772305913075764
Jannik Vestergaard,6.912604372801961,6.168602281842749,7.51455419416792
Javi Martinez,8.200213034097306,7.903231604474004,8.503800631513723
Javier Manquillo,4.281112734887425,3.396282078184674,5.023891121996923
Jay Rodriguez,5.98853548615726,6.503228363892978,5.331790338828284
Jean-Kevin Augustin,7.849555471609526,7.551244258994165,8.240723144582352
Jean-Philippe Gbamin,8.696339250121078,8.91540303061943,8.281779005061274
Jeff Hendrick,3.647983008297751,5.915568617578326,1.3499142863523919
Jeffrey Gouweleeuw,7.854354487820944,9.137870915563397,6.428785790485234
Jeffrey Schlupp,4.082267407078342,2.3505903391350547,5.62962468249023
Jermain Defoe,5.610049471771768,6.332680241042706,4.78838838365364
Jerome Boateng,9.434976358239123,10.919476670227326,7.80842377665766
Jesse Lingard,5.996833286682582,6.076143066160371,6.108223329027718
Jetro Willems,7.7484791056536775,7.247138442564743,8.780841908237461
Jiri Pavlenka,11.042138800944851,14.866095565654792,7.076129766641663
Joao Mario,6.58532959669643,6.92403082873833,6.104576095061272
Joe Allen,7.65927925191667,7.9622492435455685,7.214256990694508
Joe Hart,3.3434977650843374,5.131114717149234,1.4138285434261884
Joel Matip,7.179710849801543,6.432833128325365,7.784536301684463
John Stones,8.431484139805395,8.68314426381151,8.04760025707011
Jonas Hector,6.322830095956246,4.820737102272035,7.682870820047199
Jonas Hofmann,4.613011934399401,5.713639184679782,5.136414791654234
Jonas Lossl,5.636823272156011,7.789417915058217,3.342176359660545
Jonathan Hogg,6.33610410673594,5.578015701734928,7.1099253507845
Jonathan Schmid,4.818562593978487,4.616222461648352,5.258381096960506
Jonathan Tah,9.793559012076411,12.151152258661163,7.293913495898401
Jonjo Shelvey,8.100709861011367,9.179422754582518,6.879944697846967
Jonny Evans,8.36922134964771,9.710948562363459,7.143437502295302
Jordan Ayew,6.1101182333426625,4.537152121348453,8.239527836229257
Jordan Henderson,8.885545885601442,10.122092254737797,6.896417166176706
Jordan Pickford,5.873146446668641,8.764892823767013,2.47286975072309
Jordon Ibe,5.630291219709962,5.801232426974716,5.3172977428519514
Jorge Mere,5.791122395979785,5.259547403187365,6.180645119178949
Jose Holebas,4.7787084577727255,3.1484070508448756,6.266957595107316
Jose Izquierdo,7.549406313875577,9.901513770032196,5.201610644134919
Joselu,4.07605813607414,1.1596097614004792,6.850454241154547
Joseph Gomez,7.769894425919493,7.349762155127187,8.56215671157324
Joshua Kimmich,11.553156911046752,11.325393005583852,11.7374286866231
Joshua King,7.384343761707435,6.9949844856785015,7.506407919268253
Josip Brekalo,5.491264364496328,4.747967665088158,6.31254458645607
Josuha Guilavogui,6.973286600533688,5.623739416318132,8.232274525194502
Juan Mata,5.019089860720859,4.258802324801665,5.637325127046799
Julian Baumgartlinger,6.757411328382607,7.047541587135797,6.844979076012982
Julian Brandt,7.393266412203693,6.547954084177757,8.431449658843828
Julian Korb,4.896689900743674,5.108968371133237,4.542359160760853
Julian Weigl,6.622675720850484,5.638230922678993,7.730701101322387
Kai Havertz,8.296886194161761,7.660398599939723,9.101651597168976
Karim Bellarabi,6.739398716518932,6.396514471065278,7.055056666195659
Karim Rekik,4.9825395548579765,6.2135930756492685,3.6094337644734305
Kasper Schmeichel,6.377775514334536,7.944245644125892,4.6692531149499175
Kelechi Iheanacho,5.148143660407547,5.198139411294432,4.95868804037776
Kenan Karaman,3.5300757793800894,5.237031349948072,3.5365241042230866
Kevin Akpoguma,5.473330581864387,6.142272349009737,4.695172737357922
Kevin De Bruyne,21.956995296339784,23.259631066703985,20.512307256382314
Kevin Kampl,6.993885554511901,6.871490303715287,6.949526624363539
Kevin Vogt,5.219259093661164,7.300310825446671,2.996155092282409
Kevin Volland,8.592077881144437,8.068691176307723,9.03211596554826
Kevin-Prince Boateng,6.927396079821214,7.26185443627439,6.854757807244615
Ki Sung-Yueng,5.588464270964938,5.841959986632162,5.565157618382178
Kieran Gibbs,6.645875778963103,7.375681340939368,5.9551977928764845
Kieran Trippier,9.545689641430101,7.96148523988671,10.85844267149473
Kiko Femenia,6.87052826541309,6.621312785784953,6.977691475447973
Kingsley Coman,9.075152532551563,9.958651075091662,9.302440892108066
Koen Casteels,11.01243357187137,13.912021299739958,7.970793574409523
Konrad Laimer,5.927310221098909,5.758801669179609,6.159664478338464
Kurt Zouma,9.023968899840064,8.058193793113201,9.847691736973667
Kyle Naughton,4.976166318060966,2.514960300456324,7.295320066072355
Kyle Walker,10.183870698196966,11.865399934487325,8.36028919231335
Kyriakos Papadopoulos,6.792748476105724,6.09916336658055,7.344281316037643
Lars Bender,10.821752852813987,11.563462004280396,9.937991431754325
Lars Stindl,8.948089866723294,7.129640214179527,10.624487249673805
Laurent Depoitre,6.118060863059097,5.736415364294114,7.036487467407173
Laurent Koscielny,7.675653052805737,6.139783112073016,9.069470723945203
Leighton Baines,5.8459093409645275,5.767802135449351,5.781964276886445
Leon Bailey,11.008992820877907,10.405699870646988,11.497644684991288
Leon Goretzka,7.917170086246069,7.121314188254705,8.564915835093286
Leonardo Bittencourt,6.960024405210556,6.9110065659488145,6.866989974879038
Leroy Fer,6.064587070242113,5.25069133702525,6.736430533865719
Leroy Sane,15.509100874242666,16.029491232673358,14.846658246218723
Levin Oztunali,3.4795936876371303,1.4245114607581932,5.4808194644275385
Lewis Cook,5.278460797810024,5.570589343539783,5.512723300132938
Lewis Dunk,10.157902219524424,10.85099686242664,9.32275530702896
Lucas Alario,6.59750210448271,5.854682579691653,7.17515059106887
Ludwig Augustinsson,5.73135446635351,6.459607603664535,4.861049059449232
Luis Antonio Valencia,7.782970604426178,6.714409741910433,8.709479197348664
Luka Jovic,6.127883496328769,5.960651475519535,6.290142103654559
Luka Milivojevic,7.679771444389244,6.943695486303891,8.598843399416891
Lukas Hradecky,7.690041357374791,12.594240956870756,2.643789488285564
Lukas Klostermann,4.809857998771554,4.235155870809984,5.242507857139869
Lukas Rupp,6.439394473228832,7.094043844937185,5.889241056779632
Lukasz Fabianski,10.034194463833352,9.714939840726238,8.482638401083017
Lukasz Piszczek,6.064321700965579,4.514448996940115,7.472142135397789
Lys Mousset,5.146460742195616,5.690089106278462,4.900366054537798
Mahmoud Dahoud,6.19244166558502,6.839730149129711,6.307891732843763
Makoto Hasebe,3.985216124611834,5.3993270000099995,2.4290529796204177
Mame Biram Diouf,5.783113436546695,5.470894307326883,6.612249748605287
Manolo Gabbiadini,3.030805808073773,3.286907345423275,2.199945421802637
Manuel Lanzini,7.988618199844043,6.577302800249002,9.257881329845828
Marc Albrighton,6.890607883155956,6.4966207021813736,6.686354218967559
Marcel Heller,5.315139222168935,6.711785950389332,4.693754824565302
Marcel Sabitzer,9.371220099559498,9.209241937874499,9.391145991651243
Marcin Kaminski,4.4075997793419175,5.263435007861026,4.9376781278954915
Marco Hoger,3.9941657878873853,2.849087945403829,5.468272092750896
Marco Terrazzino,5.365996360172601,5.76320881300613,4.864346347196732
